seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_C,T2_C,T3_C,fluid_in_C,fluid_out_C,delta_p,pump_cost_per_day,Q_dot,efficiency,delta_T
6.5,975,985,965,555,735,925,975,825,-0.005,,,,,,-50,-0.051840000000000004,,,
6.6,980,990,970,554,734,930,980,830,-0.005,,,,,,-50,-0.051840000000000004,,,
6.7,985,995,975,553,733,935,985,835,-0.005,,,,,,-50,-0.051840000000000004,,,
6.8,990,1000,980,552,732,940,990,840,-0.005,,,,,,-50,-0.051840000000000004,,,
6.9,995,1005,985,551,731,945,995,845,-0.005,,,,,,-50,-0.051840000000000004,,,
7.0,1000,1010,990,550,730,950,1000,850,-0.005,,,,,,-50,-0.051840000000000004,,,
7.1,1005,1015,995,549,729,955,1005,855,-0.005,,,,,,-50,-0.051840000000000004,,,
7.2,1010,1020,1000,548,728,960,1010,860,-0.005,,,,,,-50,-0.051840000000000004,,,
7.3,1015,1025,1005,547,727,965,1015,865,-0.005,,,,,,-50,-0.051840000000000004,,,
7.4,1020,1030,1010,546,726,970,1020,870,-0.005,,,,,,-50,-0.051840000000000004,,,
7.5,1025,1035,1015,545,725,975,1025,875,-0.005,,,,,,-50,-0.051840000000000004,,,
7.6,1030,1040,1020,544,724,980,1030,880,-0.005,,,,,,-50,-0.051840000000000004,,,
7.7,1035,1045,1025,543,723,985,1035,885,-0.005,,,,,,-50,-0.051840000000000004,,,
7.8,1040,1050,1030,542,722,990,1040,890,-0.005,,,,,,-50,-0.051840000000000004,,,
7.9,1045,1055,1035,541,721,995,1045,895,-0.005,,,,,,-50,-0.051840000000000004,,,
8.0,1050,1060,1040,540,720,1000,1050,900,-0.005,,,,,,-50,-0.051840000000000004,,,
8.1,1055,1065,1045,539,719,1005,1055,905,-0.005,,,,,,-50,-0.051840000000000004,,,
8.2,1060,1070,1050,538,718,1010,1060,910,-0.005,,,,,,-50,-0.051840000000000004,,,
8.3,1065,1075,1055,537,717,1015,1065,915,-0.005,,,,,,-50,-0.051840000000000004,,,
8.4,1070,1080,1060,536,716,1020,1070,920,-0.005,,,,,,-50,-0.051840000000000004,,,
8.5,1075,1085,1065,535,715,1025,1075,925,-0.005,,,,,,-50,-0.051840000000000004,,,
8.6,1080,1090,1070,534,714,1030,1080,930,-0.005,,,,,,-50,-0.051840000000000004,,,
8.7,1085,1095,1075,533,713,1035,1085,935,-0.005,,,,,,-50,-0.051840000000000004,,,
8.8,1090,1100,1080,532,712,1040,1090,940,-0.005,,,,,,-50,-0.051840000000000004,,,
8.9,1095,1105,1085,531,711,1045,1095,945,-0.005,,,,,,-50,-0.051840000000000004,,,
9.0,1100,1110,1090,530,710,1050,1100,950,-0.005,,,,,,-50,-0.051840000000000004,,,
9.1,1105,1115,1095,529,709,1055,1105,955,-0.005,,,,,,-50,-0.051840000000000004,,,
9.2,1110,1120,1100,528,708,1060,1110,960,-0.005,,,,,,-50,-0.051840000000000004,,,
9.3,1115,1125,1105,527,707,1065,1115,965,-0.005,,,,,,-50,-0.051840000000000004,,,
9.4,1120,1130,1110,526,706,1070,1120,970,-0.005,,,,,,-50,-0.051840000000000004,,,
9.5,1125,1135,1115,525,705,1075,1125,975,-0.005,,,,,,-50,-0.051840000000000004,,,
9.6,1130,1140,1120,524,704,1080,1130,980,-0.005,,,,,,-50,-0.051840000000000004,,,
9.7,1135,1145,1125,523,703,1085,1135,985,-0.005,,,,,,-50,-0.051840000000000004,,,
9.8,1140,1150,1130,522,702,1090,1140,990,-0.005,,,,,,-50,-0.051840000000000004,,,
9.9,1145,1155,1135,521,701,1095,1145,995,-0.005,,,,,,-50,-0.051840000000000004,,,
10.0,1150,1160,1140,520,700,1100,1150,1000,-0.005,,,,,,-50,-0.051840000000000004,,,
